[Fri Apr 06 14:13:34 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:13:44 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:13:54 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:14:04 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:14:14 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:14:24 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:14:34 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:14:44 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:14:54 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:15:04 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:15:14 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:15:24 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:15:34 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:15:44 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:15:54 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
[Fri Apr 06 14:16:04 2012] [error] [client 127.0.0.1] PHP Parse error:  syntax error, unexpected ':' in /var/sites/lol/php/includes/Resource/Matches.php on line 69, referer: http://lan/app
